epsilon,utility,task
0.01,0.0,KMEANS
0.010974987654930561,0.009765532624304352,KMEANS
0.012045035402587823,0.011718955870844816,KMEANS
0.013219411484660288,0.0,KMEANS
0.014508287784959394,0.8635153505855746,KMEANS
0.015922827933410922,0.0,KMEANS
0.01747528400007684,0.0,KMEANS
0.019179102616724886,0.7536120222669236,KMEANS
0.02104904144512021,0.7957499564165106,KMEANS
0.023101297000831605,0.0037092132624365615,KMEANS
0.025353644939701114,0.0,KMEANS
0.027825594022071243,0.48825987608628085,KMEANS
0.030538555088334154,0.8516792488804535,KMEANS
0.033516026509388425,0.0,KMEANS
0.03678379771828634,0.9163229564046698,KMEANS
0.040370172585965536,0.8942911960500504,KMEANS
0.044306214575838825,0.00037164950755541604,KMEANS
0.04862601580065353,0.8938773818074356,KMEANS
0.0533669923120631,0.666728118600391,KMEANS
0.05857020818056667,0.7123962943930053,KMEANS
0.06428073117284322,0.19450166615637365,KMEANS
0.07054802310718646,0.8086425066224797,KMEANS
0.0774263682681127,0.00013704702250816325,KMEANS
0.08497534359086446,0.7937522068300638,KMEANS
0.093260334688322,0.8174533252860873,KMEANS
0.10235310218990264,0.5471385868606273,KMEANS
0.11233240329780277,0.915120376348148,KMEANS
0.12328467394420665,0.39484136483704857,KMEANS
0.13530477745798075,0.7861315730213572,KMEANS
0.1484968262254465,0.7730570081183883,KMEANS
0.16297508346206444,0.9551146494312792,KMEANS
0.1788649529057435,0.8632570406854772,KMEANS
0.19630406500402714,0.793859161517166,KMEANS
0.21544346900318845,0.8676054921786376,KMEANS
0.23644894126454083,0.8865890994218868,KMEANS
0.25950242113997374,0.741416487489158,KMEANS
0.2848035868435802,0.8868401613654396,KMEANS
0.3125715849688237,0.8141918601783755,KMEANS
0.34304692863149194,0.8456942097188922,KMEANS
0.37649358067924693,0.8731509541597193,KMEANS
0.41320124001153385,0.8562008417277844,KMEANS
0.4534878508128584,0.9516096437500313,KMEANS
0.49770235643321115,0.8796644667883539,KMEANS
0.5462277217684343,0.9199353101739175,KMEANS
0.5994842503189411,0.8497773427636486,KMEANS
0.6579332246575682,0.8962328957025041,KMEANS
0.7220809018385468,0.9462944065001045,KMEANS
0.7924828983539177,0.9584673056043388,KMEANS
0.8697490026177834,0.9406125433769197,KMEANS
0.9545484566618342,0.8710669486598415,KMEANS
1.0476157527896652,0.9578395240593969,KMEANS
1.149756995397737,0.9423095184882891,KMEANS
1.261856883066021,0.9551558879251091,KMEANS
1.384886371393873,0.9015933371186794,KMEANS
1.5199110829529348,0.9506058013202043,KMEANS
1.6681005372000592,0.9445888877806429,KMEANS
1.8307382802953698,0.9561155241976305,KMEANS
2.0092330025650478,0.9521614431152923,KMEANS
2.2051307399030455,0.9622292971958558,KMEANS
2.4201282647943834,0.9584182541902255,KMEANS
2.656087782946687,0.962205103966752,KMEANS
2.9150530628251787,0.9214061177247849,KMEANS
3.1992671377973845,0.9639465693494069,KMEANS
3.5111917342151346,0.958817113567189,KMEANS
3.8535285937105312,0.9632976905307266,KMEANS
4.229242874389499,0.9583916635127484,KMEANS
4.641588833612782,0.9622764391693707,KMEANS
5.09413801481638,0.9636670419004864,KMEANS
5.590810182512229,0.9580157780540542,KMEANS
6.135907273413176,0.962735191973564,KMEANS
6.7341506577508286,0.9635574225415041,KMEANS
7.390722033525782,0.96365842181982,KMEANS
8.111308307896872,0.9635175248490347,KMEANS
8.902150854450392,0.961623683299906,KMEANS
9.770099572992256,0.9640124789459954,KMEANS
10.722672220103243,0.9635475011987583,KMEANS
11.768119524349991,0.9634554911074208,KMEANS
12.91549665014884,0.9637073063710097,KMEANS
14.174741629268063,0.9627805844981502,KMEANS
15.556761439304722,0.963806169971192,KMEANS
17.07352647470692,0.9637878765157636,KMEANS
18.73817422860385,0.9636915052741628,KMEANS
20.565123083486537,0.9636697546379357,KMEANS
22.570197196339215,0.9637647569417834,KMEANS
24.770763559917114,0.9641452845709092,KMEANS
27.185882427329428,0.9635661690881021,KMEANS
29.836472402833405,0.9637936788248974,KMEANS
32.745491628777316,0.9641471895798376,KMEANS
35.938136638046295,0.963835755245212,KMEANS
39.4420605943766,0.9640439675449439,KMEANS
43.287612810830616,0.9638316982918932,KMEANS
47.50810162102798,0.9638264532784292,KMEANS
52.140082879996896,0.9641576405281329,KMEANS
57.223676593502205,0.963476024993338,KMEANS
62.802914418342596,0.9632453782334789,KMEANS
68.92612104349702,0.9634537694676963,KMEANS
75.64633275546291,0.9637924897978452,KMEANS
83.02175681319753,0.9639018041355735,KMEANS
91.11627561154896,0.9630235854162154,KMEANS
100.0,0.9638780299923781,KMEANS
